generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.032,0.0441147,0.005,0
10000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.196514,0.0100983,0.283409,0
20000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.236672,0.0182098,0.395859,0
30000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.255698,0.0160433,0.43537,0
40000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.245398,0.0258113,0.424627,0
50000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.263022,0.00991628,0.412642,0
60000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.265759,0.0100284,0.41294,0
70000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.271649,0.00982836,0.424358,0
70000,Tachyglossus_aculeatus,NA,16.5114,0.131522,-0.11573,0.0137781,0
80000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.257701,0.00975458,0.401126,0
90000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.269867,0.00770385,0.401198,0
100000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.279524,0.00665028,0.411134,0
100000,Cacajao_calvus,Symphalangus_syndactylus,130.623,0.736274,0.0326677,1.14067,0
110000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.28338,0.00629472,0.407778,0
110000,Cacajao_calvus,Symphalangus_syndactylus,140.411,0.668741,0.0364604,0.876051,0
120000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.257927,0.0107626,0.413398,0
120000,Cacajao_calvus,Symphalangus_syndactylus,138.607,0.501706,0.0222954,0.519763,0
130000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.271711,0.0074707,0.400662,0
130000,Cacajao_calvus,Symphalangus_syndactylus,140.588,0.62122,0.00877625,0.581941,0
140000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.263371,0.0100928,0.413389,0
140000,Cacajao_calvus,Symphalangus_syndactylus,141.097,0.505994,0.0221203,0.517142,0
150000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.265789,0.00738603,0.393448,0
150000,Cacajao_calvus,Symphalangus_syndactylus,148.189,0.735059,0.0422428,1.03756,0
160000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.260187,0.0104875,0.411063,0
160000,Cacajao_calvus,Symphalangus_syndactylus,149.825,0.70964,0.011099,0.659159,0
170000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.270806,0.0075391,0.401207,0
170000,Cacajao_calvus,Symphalangus_syndactylus,150.844,0.568764,0.0259943,0.573042,0
180000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.2725,0.0075391,0.401434,0
180000,Cacajao_calvus,Symphalangus_syndactylus,146.426,0.675343,0.0284407,0.795699,0
190000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.275569,0.00564107,0.377836,0
190000,Cacajao_calvus,Symphalangus_syndactylus,147.745,0.640418,0.00991038,0.590475,0
200000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.273198,0.00613701,0.384063,0
200000,Cacajao_calvus,Symphalangus_syndactylus,143.498,0.616148,0.0687161,0.969023,0
210000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.267137,0.0071091,0.388445,0
210000,Cacajao_calvus,Symphalangus_syndactylus,142.999,0.703336,0.00988676,0.651042,0
220000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.268541,0.00682139,0.388372,0
220000,Cacajao_calvus,Symphalangus_syndactylus,150.865,0.716955,0.00950018,0.662197,0
230000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.270927,0.0059904,0.383317,0
230000,Cacajao_calvus,Symphalangus_syndactylus,150.623,0.540242,0.037232,0.567561,0
240000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.266797,0.00608872,0.373235,0
240000,Cacajao_calvus,Symphalangus_syndactylus,142.342,0.724481,0.0107623,0.672332,0
250000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.249172,0.00902859,0.379105,0
250000,Cacajao_calvus,Symphalangus_syndactylus,145.933,0.660483,0.0697506,0.998918,0
260000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.267774,0.00592934,0.371164,0
260000,Cacajao_calvus,Symphalangus_syndactylus,144.291,0.497115,0.0244988,0.497598,0
270000,Dasypus_novemcinctus,Tachyglossus_aculeatus,0,0.274954,0.00596107,0.387413,0
