generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-4.87354,-4458.32,100,1
10000,0,-3.95848,-3700.22,1.0848,0.134
20000,0,-4.15039,-3683.78,0.422691,0.139
30000,0,-4.19015,-3680.88,0.0285672,0.128333
40000,0,-4.26873,-3684.17,1.8148,0.139
50000,0,-4.14601,-3679.47,0.336598,0.188333
60000,0,-4.1513,-3679.61,0.517307,0.117
70000,1,-5.83168,-3673,0.289171,0.368167
80000,0,-4.12976,-3679.98,0.458296,0.143857
90000,0,-4.13381,-3679.27,0.355602,0.13975
100000,1,-5.0887,-3643.37,0.935737,0.1784
110000,1,-4.8069,-3643.76,0.769427,0.25025
120000,1,-4.1319,-3638.38,2.70627,0.221333
130000,1,-4.2012,-3639.07,0.963379,0.197063
140000,1,-4.11705,-3638.67,0.945846,0.229
150000,1,-5.11493,-3641.88,2.58078,0.255
160000,1,-4.37883,-3637.26,0.268732,0.205
170000,1,-4.25839,-3635.81,0.860829,0.213
180000,1,-4.62167,-3642.11,1.4095,0.202333
190000,1,-4.2189,-3636.72,1.9132,0.2102
200000,1,-5.49669,-3641.27,1.28852,0.276
210000,1,-4.33246,-3636.28,0.338332,0.209
220000,1,-4.36753,-3635.9,1.46524,0.206
230000,1,-4.36566,-3636.36,2.97345,0.151
240000,1,-4.36245,-3636.11,0.556262,0.203
250000,1,-5.58784,-3642.1,2.1375,0.233316
260000,1,-4.08227,-3635.65,3.20908,0.221
270000,1,-4.49181,-3636.74,2.44637,0.180667
280000,1,-4.24329,-3640.09,1.60258,0.24725
290000,2,-4.38384,-3638.57,1.67488,0.206
300000,1,-4.32711,-3638.04,1.99093,0.184
310000,1,-4.36104,-3639.64,1.50815,0.1962
320000,2,-3.39197,-3630.18,2.17841,0.253
330000,3,-4.69708,-3627.88,2.83929,0.233
340000,4,-4.03402,-3609.01,8.80135,0.278167
350000,3,-3.97921,-3602.44,3.40603,0.269
360000,3,-3.17214,-3601.26,7.40587,0.289
370000,3,-4.71495,-3612.43,4.00566,0.265765
380000,1,-4.1322,-3636.71,1.9911,0.145
390000,1,-4.47004,-3638.92,1.16156,0.205889
400000,1,-4.80023,-3642.73,1.02098,0.2075
410000,3,-2.6898,-3614.49,7.06587,0.250333
420000,3,-3.2678,-3616.69,7.24424,0.271
430000,3,-4.13072,-3598.94,4.03528,0.221
440000,4,-3.31063,-3596.17,9.74262,0.241
450000,4,-3.40159,-3594.42,4.09823,0.228778
460000,3,-5.23359,-3597.45,2.8233,0.243
470000,3,-5.318,-3598.66,3.03256,0.221
480000,1,-4.7896,-3646.52,1.6072,0.271
490000,4,-2.31655,-3588.24,4.36625,0.26
500000,3,-3.82116,-3593.38,3.58238,0.218
510000,3,-2.81002,-3594.61,3.93531,0.264
520000,4,-3.62324,-3593.01,3.43335,0.248
530000,4,-4.60807,-3599.13,3.98889,0.259
540000,4,-2.3976,-3572.82,4.07505,0.259
550000,4,-3.07667,-3576.86,8.15241,0.232
560000,3,-3.79505,-3598.04,3.22718,0.235
570000,3,-4.24591,-3600.58,1.78638,0.258
580000,3,-3.73633,-3597.11,6.76245,0.237
590000,4,-3.24205,-3577.06,3.22386,0.24
600000,4,-3.9731,-3580.88,3.85204,0.271
610000,1,-4.25833,-3635.68,1.05704,0.218132
620000,5,-4.27868,-3590.25,11.0145,0.244
630000,5,-3.72648,-3593.21,3.42879,0.251
640000,3,-3.82529,-3599.42,0.74451,0.228571
650000,6,-2.64135,-3569.28,7.43969,0.23
660000,6,-2.73494,-3566.36,5.65249,0.345
670000,6,-1.42296,-3561.47,6.11129,0.277
680000,4,-2.79628,-3592.98,5.49223,0.294
690000,4,-2.61924,-3589.35,7.55457,0.268
700000,8,-3.47684,-3563.95,10.5352,0.292917
710000,4,-2.21385,-3584.59,5.86945,0.269143
720000,4,-4.04609,-3592.68,2.48527,0.275
730000,4,-3.77521,-3589.22,2.94007,0.222
740000,5,-3.3081,-3568.84,10.0699,0.314
750000,3,-3.49987,-3594.46,2.54249,0.209
760000,7,-1.83892,-3567.04,5.03163,0.324
770000,4,-2.80935,-3609.07,4.46104,0.254281
780000,6,-1.69868,-3562.69,7.25775,0.274
790000,4,-3.6955,-3586.2,7.52108,0.25925
800000,6,-4.55529,-3560.69,5.09261,0.274
810000,5,-2.58321,-3576.11,4.21616,0.355
820000,3,-3.73416,-3594.74,5.10085,0.265
830000,4,-2.67522,-3586.41,13.0038,0.248
840000,5,-1.93393,-3586.31,4.04755,0.279
850000,3,-3.44529,-3597.86,5.12814,0.228
860000,5,-4.62561,-3575.48,4.27584,0.27412
870000,3,-3.51858,-3599.22,2.09088,0.2305
880000,3,-3.65339,-3600.09,7.07527,0.22625
890000,3,-3.64683,-3598.46,3.17385,0.2462
900000,5,-2.26085,-3573.87,7.86196,0.268
910000,3,-3.58105,-3599.69,4.14021,0.186
920000,4,-2.81897,-3577.18,2.51962,0.25575
930000,3,-4.15858,-3598.03,3.43007,0.237
940000,4,-4.45277,-3595.12,2.4152,0.234
950000,5,-6.09303,-3586.25,11.0027,0.2518
960000,4,-4.27406,-3593.5,5.57993,0.221385
970000,4,-4.04201,-3592.8,7.16294,0.218
980000,3,-3.91347,-3595.66,4.24465,0.241
990000,4,-4.82315,-3593.55,8.28428,0.274286
1000000,5,-5.24509,-3576.31,4.00474,0.248167
1010000,5,-2.84967,-3568.84,6.72235,0.255
1020000,4,-3.30314,-3594.77,2.59721,0.294
1030000,3,-4.32311,-3603.39,5.24493,0.233067
1040000,4,-2.97283,-3594.32,1.00803,0.242
1050000,3,-3.68012,-3593.89,2.29895,0.255286
1060000,3,-3.64459,-3597.03,3.34919,0.227429
1070000,3,-3.44281,-3593.73,1.62674,0.203
1080000,8,-3.50679,-3559.26,6.2576,0.239467
1090000,7,-6.5786,-3560.46,6.09145,0.288
1100000,6,-2.07033,-3554.82,10.1954,0.267
1110000,3,-3.71467,-3588.31,4.50259,0.259
1120000,5,-4.67181,-3588.5,4.34942,0.263571
1130000,4,-2.94661,-3590.1,1.93466,0.310667
1140000,5,-1.9017,-3562.87,10.1573,0.288
1150000,4,-6.53363,-3590.33,6.35472,0.276
1160000,3,-3.4923,-3591.44,3.95571,0.25125
1170000,6,-4.04564,-3557.88,7.60575,0.237
1180000,3,-4.4143,-3590.55,3.26937,0.258
1190000,5,-4.28824,-3586.58,4.65333,0.2274
1200000,5,-2.54439,-3567.06,7.87276,0.247
1210000,4,-3.48622,-3595.61,6.13034,0.248
1220000,4,-4.55181,-3586.37,9.74384,0.309333
1230000,3,-3.73526,-3590.7,1.35241,0.274
1240000,3,-4.05239,-3593.11,6.38124,0.278
1250000,4,-4.65523,-3588.82,5.1398,0.277
1260000,4,-5.05735,-3587.54,1.70187,0.278
1270000,4,-2.70557,-3583.2,2.80193,0.322
1280000,4,-4.78655,-3589.34,6.03139,0.2504
1290000,6,-4.03299,-3556.79,8.90746,0.26
1300000,4,-6.27347,-3579.22,5.3699,0.292571
1310000,5,-5.46723,-3586.41,7.38537,0.319
1320000,5,-5.57571,-3582.46,7.68764,0.2796
1330000,5,-4.18575,-3580.44,5.21493,0.255692
1340000,6,-4.65901,-3576.52,8.67603,0.263
1350000,7,-3.29868,-3556.73,6.15757,0.254
1360000,7,-4.70726,-3564.87,9.32268,0.268
1370000,4,-3.00339,-3589.97,3.79813,0.26275
1380000,6,-5.23998,-3565.07,3.73612,0.267
1390000,3,-4.07437,-3584.92,1.93639,0.253
1400000,5,-2.43027,-3581.88,7.95115,0.276
1410000,7,-4.80056,-3562.68,8.45571,0.252
1420000,5,-1.40018,-3577.05,4.442,0.245263
1430000,5,-2.48419,-3579.6,5.0604,0.238
1440000,7,-5.3855,-3562.6,10.0152,0.309
1450000,4,-5.92489,-3581.75,6.50181,0.28
1460000,4,-4.43577,-3575.63,4.77884,0.267
1470000,7,-6.35689,-3556.65,4.06539,0.251
1480000,5,-4.53071,-3566.38,11.3763,0.255
1490000,4,-3.73446,-3576.01,2.96098,0.271
1500000,5,-3.1057,-3561.72,4.78596,0.239333
1510000,4,-3.87509,-3572.78,3.72908,0.261
1520000,5,-3.06019,-3569.74,5.83939,0.2855
1530000,4,-4.77015,-3574.77,3.7406,0.2687
1540000,4,-3.18379,-3574.82,6.30115,0.2615
1550000,5,-3.44717,-3566.18,5.15612,0.25125
1560000,7,-5.13328,-3559.42,8.30659,0.249857
1570000,7,-6.4309,-3554.71,8.3671,0.306
1580000,7,-3.34294,-3555.01,9.33781,0.271
1590000,8,-1.78979,-3549,5.13287,0.256
1600000,4,-3.06702,-3577.24,5.58242,0.27
1610000,6,-3.79622,-3561.41,3.50311,0.238
1620000,6,-4.4023,-3560.61,5.63563,0.254
1630000,5,-6.63306,-3574.15,4.47819,0.213
1640000,6,-4.39313,-3562.11,6.15932,0.278
1650000,6,-3.54918,-3560.23,3.7453,0.286
1660000,5,-3.10241,-3574.05,4.36959,0.303
1670000,4,-5.22463,-3572.22,2.40505,0.237
1680000,6,-2.85135,-3560.09,8.32939,0.27
1690000,6,-4.95665,-3561.18,8.29507,0.2855
1700000,9,-2.62935,-3539.29,9.29186,0.315
1710000,8,-4.26298,-3539.07,8.23835,0.243667
1720000,6,-5.75093,-3563.66,4.29129,0.292
1730000,10,-4.24317,-3541.37,21.7231,0.293615
1740000,11,-7.98801,-3540.44,11.8233,0.338
1750000,5,-2.52389,-3561.3,5.26208,0.245
1760000,7,-2.55107,-3560.7,7.28456,0.306143
1770000,6,-7.36157,-3561.18,9.36464,0.308
1780000,5,-4.43911,-3565.12,6.80682,0.271
1790000,6,-2.8159,-3555.48,5.12976,0.2546
1800000,6,-2.04348,-3558.52,8.82665,0.2606
1810000,6,-2.6708,-3562.77,10.5525,0.2804
1820000,5,-2.80791,-3565.98,9.04674,0.247
1830000,8,-0.27717,-3539.4,3.24862,0.333
1840000,6,-6.87609,-3566.01,5.98717,0.308
1850000,8,-2.35675,-3536.85,8.73979,0.287
1860000,6,-1.3951,-3557.95,6.14582,0.276929
1870000,6,-1.79258,-3573.37,5.67155,0.304056
1880000,9,-1.79969,-3543.42,8.09671,0.272
1890000,6,-1.79856,-3564.28,7.53026,0.291
1900000,10,0.0963923,-3537.68,11.4553,0.28225
1910000,5,-2.8796,-3564.97,8.22565,0.237
1920000,4,-3.87046,-3576.23,9.48962,0.249625
1930000,8,-0.757124,-3545.06,12.8629,0.268
1940000,9,-2.64968,-3553.26,6.69431,0.266
1950000,9,-1.97428,-3543.1,7.16898,0.247
1960000,4,-4.39406,-3578.12,6.58302,0.297
1970000,9,-1.28346,-3538.19,9.89217,0.274
1980000,4,-4.94085,-3577.52,6.03956,0.26275
1990000,9,-5.74874,-3528.59,11.2791,0.295
2000000,13,-1.84256,-3527.39,10.8726,0.294
2010000,10,0.581171,-3531.67,6.64119,0.248
2020000,7,-2.16138,-3546.48,10.6487,0.255
2030000,9,-2.26218,-3541.41,11.3876,0.273
2040000,6,-2.80378,-3545.31,5.18361,0.259
2050000,9,-2.25357,-3534.34,13.2511,0.294294
2060000,4,-2.80135,-3573.42,2.38693,0.242
2070000,4,-2.61137,-3572.47,4.73529,0.255333
2080000,7,-5.72995,-3546.03,16.4799,0.298
2090000,6,-2.74676,-3566.6,6.67783,0.3185
2100000,6,-1.70306,-3545.49,8.21398,0.222
2110000,9,-5.09826,-3536.36,6.80681,0.272333
2120000,6,-2.92547,-3547.73,6.1639,0.222
2130000,5,-2.76854,-3568.14,2.06938,0.243
2140000,8,-0.839659,-3543.2,5.85189,0.2758
2150000,6,-2.46882,-3549.88,5.2574,0.233
2160000,8,-4.36621,-3545.66,12.3356,0.257333
2170000,6,-3.82718,-3566.09,14.7786,0.265
2180000,4,-3.20705,-3577.69,3.83031,0.265875
2190000,9,-1.39103,-3532.61,6.88503,0.297
2200000,4,-3.443,-3575.37,7.21431,0.275562
2210000,8,-1.60062,-3541.62,7.75244,0.240125
2220000,8,-1.43423,-3534.56,8.14909,0.269875
2230000,6,-2.47345,-3548.74,5.43735,0.222667
2240000,6,-1.56692,-3545.76,6.45894,0.261
2250000,4,-3.61478,-3569.95,4.0833,0.26425
2260000,6,-9.10946,-3569.64,12.2328,0.24
2270000,8,-2.37202,-3555.31,4.45981,0.274
2280000,8,-0.766145,-3541.63,9.39977,0.321
2290000,6,-5.28628,-3569.76,5.13261,0.184
2300000,9,-0.775319,-3549.35,10.2218,0.242333
2310000,8,-0.30871,-3537.4,8.37419,0.234
2320000,10,-2.35367,-3543,8.60013,0.33
2330000,8,-1.51185,-3539.58,12.4076,0.275
2340000,4,-3.14676,-3573.91,5.62461,0.285
2350000,9,-4.00753,-3532.9,6.63506,0.257
2360000,9,-3.27826,-3538.5,6.43338,0.279
2370000,7,-3.03027,-3563.45,11.7161,0.262667
2380000,6,-1.97928,-3554.82,8.92562,0.290778
2390000,6,-1.88172,-3559.33,5.24491,0.265
2400000,8,-3.66305,-3545.74,8.36279,0.269769
2410000,6,-3.87361,-3573.67,5.47396,0.193
2420000,8,-1.54017,-3546.2,9.07524,0.275
2430000,13,-7.08898,-3539.4,15.0802,0.294
2440000,6,-3.61758,-3561.02,6.27765,0.2744
2450000,11,-4.92686,-3529.55,12.6475,0.270545
2460000,11,-10.3058,-3529.13,8.27672,0.277
2470000,9,-5.49293,-3531.97,9.98836,0.239
2480000,6,-3.3419,-3562.21,4.89377,0.237
2490000,6,-3.94671,-3554.82,6.62767,0.257
2500000,6,-1.69963,-3558.02,4.81057,0.2315
2510000,6,-3.72231,-3557.02,9.99203,0.249625
2520000,7,-2.39476,-3558.78,8.01752,0.252333
2530000,6,-3.83235,-3561.97,6.03873,0.2663
2540000,8,-3.44894,-3553.88,8.41005,0.317
2550000,7,-1.8536,-3548.78,8.69366,0.304125
2560000,7,-2.79771,-3554.47,4.63676,0.308
2570000,9,-3.43173,-3541.74,7.31503,0.261
2580000,9,-4.08479,-3540.6,6.81234,0.263
2590000,7,-7.58879,-3561.38,8.77591,0.272727
