Group,Genus species,brain mass,Ref. brain mass,body mass,Ref. body mass,hibernation,Ref. hibernation,diurnality,Ref. diurnality,substrate use,Ref. substrate use,diet,Ref. diet,mid-latitude of geographical distribution ,Ref. mid-latitude of geographical distribution
Afrosoricida,Chrysochloris asiatica,0.70,Bauchot and Stephan 1966,49.00,Bauchot and Stephan 1966,0,Botero et al 2013,1,Animal Diversity Web,2,Animal Diversity Web,4,Animal Diversity Web,-32.08,Jones et al 2009
Afrosoricida,Chrysochloris stuhlmanni,0.74,Bauchot and Stephan 1966,39.11,Bauchot and Stephan 1966,0,Botero et al 2013,1,Animal Diversity Web,2,Animal Diversity Web,4,Animal Diversity Web,-1.35,Jones et al 2009
Afrosoricida,Echinops telfairi,0.58,Isler and van Schaik 2012,72.37,Isler and van Schaik 2012,1,Ruf and Geiser 2014,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-22.58,Jones et al 2009
Afrosoricida,Hemicentetes semispinosus,0.74,Bauchot and Stephan 1966,76.58,Bauchot and Stephan 1966,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Animal Diversity Web,-19.31,Jones et al 2009
Afrosoricida,Microgale dobsoni,0.56,Isler and van Schaik 2012,37.87,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-18.56,Jones et al 2009
Afrosoricida,Microgale talazaci,0.76,Bauchot and Stephan 1966,42.26,Bauchot and Stephan 1966,0,Botero et al 2013,0,Animal Diversity Web,4,Animal Diversity Web,4,Animal Diversity Web,-17.69,Jones et al 2009
Afrosoricida,Micropotamogale lamottei,0.80,Stephan et al 1981,64.20,Stephan et al 1981,0,Botero et al 2013,0,Animal Diversity Web,1,Animal Diversity Web,4,Animal Diversity Web,7.03,Jones et al 2009
Afrosoricida,Oryzorictes hova,0.58,Bauchot and Stephan 1966,44.20,Bauchot and Stephan 1966,0,Botero et al 2013,0,Animal Diversity Web,2,Animal Diversity Web,4,Animal Diversity Web,-16.96,Jones et al 2009
Afrosoricida,Potamogale velox,4.25,Bauchot and Stephan 1966,677.00,Bauchot and Stephan 1966,0,Botero et al 2013,0,Animal Diversity Web,3,Jones et al 2009,4,Animal Diversity Web,-2.03,Jones et al 2009
Afrosoricida,Setifer setosus,1.59,Isler and van Schaik 2012,234.25,Isler and van Schaik 2012,1,Ruf and Geiser 2014,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-18.96,Jones et al 2009
Afrosoricida,Tenrec ecaudatus,2.44,Isler and van Schaik 2012,600.00,Isler and van Schaik 2012,1,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-18.96,Jones et al 2009
Artiodactyla,Addax nasomaculatus,185.00,Isler and van Schaik 2012,107000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Myers et al 2006,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,20.52,Jones et al 2009
Artiodactyla,Aepyceros melampus,181.72,Isler and van Schaik 2012,47000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-12.91,Jones et al 2009
Artiodactyla,Alcelaphus buselaphus,284.90,Isler and van Schaik 2012,114750.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,5.81,Jones et al 2009
Artiodactyla,Alcelaphus lichtensteinii,357.00,Oboussier 1972,165000.00,Oboussier 1972,0,Geiser1998,1,Wilman et al 2014,3,Animal Diversity Web,1,Wilman et al 2014,-11.63,Jones et al 2009
Artiodactyla,Alces alces,483.33,Heldstab et al 2016,272160.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,58.50,IUCN 2017
Artiodactyla,Ammotragus lervia,209.00,Isler and van Schaik 2012,110000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,24.84,Jones et al 2009
Artiodactyla,Antidorcas marsupialis,109.17,Graber and Heldstab unpublished data,36518.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-20.74,Jones et al 2009
Artiodactyla,Antilocapra americana,125.60,Isler and van Schaik 2012,46750.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,37.21,Jones et al 2009
Artiodactyla,Antilope cervicapra,111.83,Graber and Heldstab unpublished data,28800.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,18.75,Jones et al 2009
Artiodactyla,Axis axis,188.00,Graber and Heldstab unpublished data,88450.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,17.25,Jones et al 2009
Artiodactyla,Axis porcinus,130.17,Graber and Heldstab unpublished data,30000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,20.57,Jones et al 2009
Artiodactyla,Babyrousa babyrussa,127.00,Isler and van Schaik 2012,78000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,2,Isler and van Schaik 2012,-2.73,Jones et al 2009
Artiodactyla,Bison bison,458.00,Isler and van Schaik 2012,431500.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,44.31,Jones et al 2009
Artiodactyla,Bos taurus,452.80,Isler and van Schaik 2012,461000.00,Isler and van Schaik 2012,0,Geiser1998,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,13.46,Jones et al 2009
Artiodactyla,Boselaphus tragocamelus,267.17,Isler and van Schaik 2012,125000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,22.35,Jones et al 2009
Artiodactyla,Camelus bactrianus,640.00,Graber and Heldstab unpublished data,475000.00,Animal Diversity Web,0,Geiser1998,1,Animal Diversity Web,3,Jones et al 2009,1,Animal Diversity Web,41.34,Jones et al 2009
Artiodactyla,Camelus dromedarius,525.00,Graber and Heldstab unpublished data,400000.00,Isler and van Schaik 2012,0,Geiser1998,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,16.70,IUCN 2017
Artiodactyla,Capreolus capreolus,107.50,Heldstab et al 2016,17472.40,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,51.25,Jones et al 2009
Artiodactyla,Cephalophus dorsalis,79.17,Graber and Heldstab unpublished data,20650.00,Isler and van Schaik 2009,0,Botero et al 2013,0,Animal Diversity Web,3,Jones et al 2009,2,Animal Diversity Web,1.14,Jones et al 2009
Artiodactyla,Cephalophus leucogaster,89.75,Graber and Heldstab unpublished data,13000.00,Oboussier and Schliemann 1966,0,Botero et al 2013,0,Animal Diversity Web,3,Jones et al 2009,2,Animal Diversity Web,-0.45,Jones et al 2009
Artiodactyla,Cephalophus natalensis,74.50,Haarmann and Oboussier 1972,11500.00,Haarmann and Oboussier 1972,0,Botero et al 2013,0,Animal Diversity Web,3,Jones et al 2009,2,Animal Diversity Web,-19.25,Jones et al 2009
Artiodactyla,Cephalophus nigrifrons,86.67,Graber and Heldstab unpublished data,14500.00,Haarmann and Oboussier 1972,0,Botero et al 2013,0,Animal Diversity Web,3,Jones et al 2009,2,Animal Diversity Web,-2.36,Jones et al 2009
Artiodactyla,Cephalophus silvicultor,173.33,Graber and Heldstab unpublished data,43000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,2,Isler and van Schaik 2012,-1.89,Jones et al 2009
